ID,Individuo,I,x,f(x)
1,100110,38,2.6190476190476186,6.545969074049677
2,110110,54,4.142857142857142,15.923330807852608
3,101101,45,3.2857142857142856,10.177149163244945
4,001001,9,-0.1428571428571429,0.020459047447336322
5,111000,56,4.333333333333333,17.358950428892644
6,011010,26,1.4761904761904763,2.123000376292874
7,010010,18,0.7142857142857142,0.5038437170431554
8,110101,53,4.0476190476190474,15.226801622491495
9,111011,59,4.619047619047619,19.61743872070184
10,010110,22,1.095238095238095,1.1766179378190775
11,010011,19,0.8095238095238093,0.6460700601147984
12,000110,6,-0.4285714285714286,0.18504733091468567
13,000100,4,-0.6190476190476191,0.38736034312017886
14,100001,33,2.142857142857143,4.42014247526177
15,010100,20,0.9047619047619047,0.8056681612936524
16,111001,57,4.428571428571428,18.097861591499424
17,111100,60,4.7142857142857135,20.397925643699594
18,010000,16,0.5238095238095237,0.27186804786227164
19,111101,61,4.809523809523809,21.192092176536686
20,111010,58,4.523809523809524,18.850720869283407
21,001010,10,-0.04761904761904767,0.002269458297215279
22,011101,29,1.7619047619047619,3.0088627253432194
23,000001,1,-0.9047619047619048,0.8315200473231276
24,011111,31,1.952380952380952,3.6819279128853872
25,011011,27,1.5714285714285712,2.401669329234637
26,001111,15,0.4285714285714284,0.18229960786082441
27,101010,42,3.0,8.528976393813505
28,011001,25,1.380952380952381,1.8610703876845358
29,001000,8,-0.23809523809523814,0.05692491688651036
30,100010,34,2.238095238095238,4.81345509078861
31,000101,5,-0.5238095238095238,0.27688478660484844
32,010111,23,1.1904761904761902,1.3877887837068057
33,000010,2,-0.8095238095238095,0.6645875362570834
34,000011,3,-0.7142857142857143,0.5165644462221506
35,101000,40,2.8095238095238093,7.506521601545266
36,011000,24,1.2857142857142856,1.6159697304497915
37,011110,30,1.8571428571428568,3.337206502312616
38,101001,41,2.9047619047619047,8.010056260657452
39,110000,48,3.571428571428571,11.960550634631987
40,100100,36,2.4285714285714284,5.648039789102246
41,100111,39,2.714285714285714,7.018462502487046
42,000000,0,-1.0,1.0174524064372834
43,001100,12,0.1428571428571428,0.020357279083275916
44,100101,37,2.5238095238095237,6.089131450525736
45,010101,21,1.0,0.9825475935627165
46,111111,63,5.0,22.821106431308547
47,101111,47,3.4761904761904763,11.351207983562364
48,111110,62,4.904761904761904,21.999848898615625
49,001101,13,0.23809523809523814,0.05645376792074591
50,001011,11,0.04761904761904745,0.002265689095074959
51,001110,14,0.33333333333333326,0.11046469651611175
52,110010,50,3.761904761904762,13.22341296515159
