ID,Individuo,I,x,f(x)
558,000011,3,-0.7142857142857143,0.5165644462221506
559,001110,14,0.33333333333333326,0.11046469651611175
560,100011,35,2.333333333333333,5.22278426902931
561,000000,0,-1.0,1.0174524064372834
562,001110,14,0.33333333333333326,0.11046469651611175
563,001111,15,0.4285714285714284,0.18229960786082441
564,111110,62,4.904761904761904,21.999848898615625
565,001101,13,0.23809523809523814,0.05645376792074591
566,100010,34,2.238095238095238,4.81345509078861
567,011010,26,1.4761904761904763,2.123000376292874
568,000100,4,-0.6190476190476191,0.38736034312017886
569,001110,14,0.33333333333333326,0.11046469651611175
570,011110,30,1.8571428571428568,3.337206502312616
571,011000,24,1.2857142857142856,1.6159697304497915
572,101110,46,3.3809523809523805,10.756710852691842
573,001101,13,0.23809523809523814,0.05645376792074591
574,100100,36,2.4285714285714284,5.648039789102246
575,010110,22,1.095238095238095,1.1766179378190775
576,101110,46,3.3809523809523805,10.756710852691842
577,001111,15,0.4285714285714284,0.18229960786082441
578,000110,6,-0.4285714285714286,0.18504733091468567
579,011011,27,1.5714285714285712,2.401669329234637
580,101100,44,3.19047619047619,9.612612865986414
581,001100,12,0.1428571428571428,0.020357279083275916
582,101010,42,3.0,8.528976393813505
583,011111,31,1.952380952380952,3.6819279128853872
584,001100,12,0.1428571428571428,0.020357279083275916
585,001110,14,0.33333333333333326,0.11046469651611175
586,010110,22,1.095238095238095,1.1766179378190775
587,110100,52,3.9523809523809526,14.544579096795166
588,001110,14,0.33333333333333326,0.11046469651611175
589,001100,12,0.1428571428571428,0.020357279083275916
590,010111,23,1.1904761904761902,1.3877887837068057
591,000100,4,-0.6190476190476191,0.38736034312017886
592,101110,46,3.3809523809523805,10.756710852691842
593,001011,11,0.04761904761904745,0.002265689095074959
594,101110,46,3.3809523809523805,10.756710852691842
595,111000,56,4.333333333333333,17.358950428892644
596,101100,44,3.19047619047619,9.612612865986414
597,011110,30,1.8571428571428568,3.337206502312616
598,101100,44,3.19047619047619,9.612612865986414
599,001110,14,0.33333333333333326,0.11046469651611175
600,101111,47,3.4761904761904763,11.351207983562364
601,101001,41,2.9047619047619047,8.010056260657452
602,001100,12,0.1428571428571428,0.020357279083275916
603,001111,15,0.4285714285714284,0.18229960786082441
604,010110,22,1.095238095238095,1.1766179378190775
605,000010,2,-0.8095238095238095,0.6645875362570834
606,110111,55,4.238095238095238,16.63407696166561
607,001011,11,0.04761904761904745,0.002265689095074959
608,001110,14,0.33333333333333326,0.11046469651611175
609,000110,6,-0.4285714285714286,0.18504733091468567
610,111010,58,4.523809523809524,18.850720869283407
611,000010,2,-0.8095238095238095,0.6645875362570834
612,011110,30,1.8571428571428568,3.337206502312616
613,101110,46,3.3809523809523805,10.756710852691842
614,011010,26,1.4761904761904763,2.123000376292874
615,001111,15,0.4285714285714284,0.18229960786082441
616,110110,54,4.142857142857142,15.923330807852608
617,010010,18,0.7142857142857142,0.5038437170431554
618,001010,10,-0.04761904761904767,0.002269458297215279
619,001110,14,0.33333333333333326,0.11046469651611175
620,010001,17,0.6190476190476191,0.37907956617687333
621,000011,3,-0.7142857142857143,0.5165644462221506
622,111000,56,4.333333333333333,17.358950428892644
623,010010,18,0.7142857142857142,0.5038437170431554
624,011001,25,1.380952380952381,1.8610703876845358
625,010011,19,0.8095238095238093,0.6460700601147984
626,110000,48,3.571428571428571,11.960550634631987
627,000010,2,-0.8095238095238095,0.6645875362570834
628,110000,48,3.571428571428571,11.960550634631987
629,011110,30,1.8571428571428568,3.337206502312616
630,110100,52,3.9523809523809526,14.544579096795166
631,010010,18,0.7142857142857142,0.5038437170431554
632,010010,18,0.7142857142857142,0.5038437170431554
633,010010,18,0.7142857142857142,0.5038437170431554
634,110101,53,4.0476190476190474,15.226801622491495
635,001110,14,0.33333333333333326,0.11046469651611175
636,000100,4,-0.6190476190476191,0.38736034312017886
637,000011,3,-0.7142857142857143,0.5165644462221506
638,100100,36,2.4285714285714284,5.648039789102246
639,010011,19,0.8095238095238093,0.6460700601147984
640,011110,30,1.8571428571428568,3.337206502312616
641,000111,7,-0.33333333333333337,0.11175752570611044
642,110011,51,3.8571428571428568,13.876752957322918
643,010010,18,0.7142857142857142,0.5038437170431554
644,100011,35,2.333333333333333,5.22278426902931
645,010011,19,0.8095238095238093,0.6460700601147984
646,100010,34,2.238095238095238,4.81345509078861
647,010000,16,0.5238095238095237,0.27186804786227164
648,000010,2,-0.8095238095238095,0.6645875362570834
649,011011,27,1.5714285714285712,2.401669329234637
650,110110,54,4.142857142857142,15.923330807852608
651,100010,34,2.238095238095238,4.81345509078861
652,110000,48,3.571428571428571,11.960550634631987
653,010000,16,0.5238095238095237,0.27186804786227164
654,010010,18,0.7142857142857142,0.5038437170431554
655,000011,3,-0.7142857142857143,0.5165644462221506
656,010010,18,0.7142857142857142,0.5038437170431554
657,010010,18,0.7142857142857142,0.5038437170431554
658,111000,56,4.333333333333333,17.358950428892644
659,000101,5,-0.5238095238095238,0.27688478660484844
660,110010,50,3.761904761904762,13.22341296515159
661,011010,26,1.4761904761904763,2.123000376292874
662,110010,50,3.761904761904762,13.22341296515159
663,011001,25,1.380952380952381,1.8610703876845358
664,000110,6,-0.4285714285714286,0.18504733091468567
665,011010,26,1.4761904761904763,2.123000376292874
666,110001,49,3.666666666666666,12.584648915046454
667,000010,2,-0.8095238095238095,0.6645875362570834
668,111010,58,4.523809523809524,18.850720869283407
669,010010,18,0.7142857142857142,0.5038437170431554
670,011101,29,1.7619047619047619,3.0088627253432194
671,010010,18,0.7142857142857142,0.5038437170431554
672,010110,22,1.095238095238095,1.1766179378190775
673,010000,16,0.5238095238095237,0.27186804786227164
674,010110,22,1.095238095238095,1.1766179378190775
675,010101,21,1.0,0.9825475935627165
676,010010,18,0.7142857142857142,0.5038437170431554
677,010110,22,1.095238095238095,1.1766179378190775
678,001111,15,0.4285714285714284,0.18229960786082441
679,001010,10,-0.04761904761904767,0.002269458297215279
680,110111,55,4.238095238095238,16.63407696166561
681,010000,16,0.5238095238095237,0.27186804786227164
682,101010,42,3.0,8.528976393813505
683,011100,28,1.6666666666666665,2.6969868923802456
684,111010,58,4.523809523809524,18.850720869283407
685,001011,11,0.04761904761904745,0.002265689095074959
686,110110,54,4.142857142857142,15.923330807852608
687,010000,16,0.5238095238095237,0.27186804786227164
